minecraft:missingno	x=66	y=0	w=16	h=16
minecraft:trims/entity/humanoid_leggings/eye_iron	x=330	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_iron_darker	x=396	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_lapis	x=462	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_netherite	x=528	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_netherite_darker	x=594	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_quartz	x=660	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_redstone	x=726	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/eye_resin	x=792	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_amethyst	x=858	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_copper	x=924	y=852	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_copper_darker	x=0	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_diamond	x=66	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_diamond_darker	x=132	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_emerald	x=198	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_gold	x=264	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_gold_darker	x=330	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_iron	x=396	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_iron_darker	x=462	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_lapis	x=528	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_netherite	x=594	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_netherite_darker	x=660	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_quartz	x=726	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_redstone	x=792	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/flow_resin	x=858	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_amethyst	x=924	y=886	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_copper	x=0	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_copper_darker	x=66	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_diamond	x=132	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_diamond_darker	x=198	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_emerald	x=264	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_gold	x=330	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_gold_darker	x=396	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_iron	x=462	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_iron_darker	x=528	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_lapis	x=594	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_netherite	x=660	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_netherite_darker	x=726	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_quartz	x=792	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_redstone	x=858	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/host_resin	x=924	y=920	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_amethyst	x=0	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_copper	x=66	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_copper_darker	x=132	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_diamond	x=198	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_diamond_darker	x=264	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_emerald	x=330	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_gold	x=396	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_gold_darker	x=462	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_iron	x=528	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_iron_darker	x=594	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_lapis	x=660	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_netherite	x=726	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_netherite_darker	x=792	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_quartz	x=858	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_redstone	x=924	y=954	w=64	h=32
minecraft:trims/entity/humanoid_leggings/raiser_resin	x=0	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_amethyst	x=66	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_copper	x=132	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_copper_darker	x=198	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_diamond	x=264	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_diamond_darker	x=330	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_emerald	x=396	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_gold	x=462	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_gold_darker	x=528	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_iron	x=594	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_iron_darker	x=660	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_lapis	x=726	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_netherite	x=792	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_netherite_darker	x=858	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_quartz	x=924	y=988	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_redstone	x=1024	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/rib_resin	x=1024	y=34	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_amethyst	x=1024	y=68	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_copper	x=1024	y=102	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_copper_darker	x=1024	y=136	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_diamond	x=1024	y=170	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_diamond_darker	x=1024	y=204	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_emerald	x=1024	y=238	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_gold	x=1024	y=272	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_gold_darker	x=1024	y=306	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_iron	x=1024	y=340	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_iron_darker	x=1024	y=374	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_lapis	x=1024	y=408	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_netherite	x=1024	y=442	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_netherite_darker	x=1024	y=476	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_quartz	x=1024	y=510	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_redstone	x=1024	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/sentry_resin	x=1024	y=578	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_amethyst	x=1024	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_copper	x=1024	y=646	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_copper_darker	x=1024	y=680	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_diamond	x=1024	y=714	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_diamond_darker	x=1024	y=748	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_emerald	x=1024	y=782	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_gold	x=1024	y=816	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_gold_darker	x=1024	y=850	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_iron	x=1024	y=884	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_iron_darker	x=1024	y=918	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_lapis	x=1024	y=952	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_netherite	x=1024	y=986	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_netherite_darker	x=1090	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_quartz	x=1090	y=34	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_redstone	x=1090	y=68	w=64	h=32
minecraft:trims/entity/humanoid_leggings/shaper_resin	x=1090	y=102	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_amethyst	x=1090	y=136	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_copper	x=1090	y=170	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_copper_darker	x=1090	y=204	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_diamond	x=1090	y=238	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_diamond_darker	x=1090	y=272	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_emerald	x=1090	y=306	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_gold	x=1090	y=340	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_gold_darker	x=1090	y=374	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_iron	x=1090	y=408	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_iron_darker	x=1090	y=442	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_lapis	x=1090	y=476	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_netherite	x=1090	y=510	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_netherite_darker	x=1090	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_quartz	x=1090	y=578	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_redstone	x=1090	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/silence_resin	x=1090	y=646	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_amethyst	x=1090	y=680	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_copper	x=1090	y=714	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_copper_darker	x=1090	y=748	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_diamond	x=1090	y=782	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_diamond_darker	x=1090	y=816	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_emerald	x=1090	y=850	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_gold	x=1090	y=884	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_gold_darker	x=1090	y=918	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_iron	x=1090	y=952	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_iron_darker	x=1090	y=986	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_lapis	x=1156	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_netherite	x=1156	y=34	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_netherite_darker	x=1156	y=68	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_quartz	x=1156	y=102	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_redstone	x=1156	y=136	w=64	h=32
minecraft:trims/entity/humanoid_leggings/snout_resin	x=1156	y=170	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_amethyst	x=1156	y=204	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_copper	x=1156	y=238	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_copper_darker	x=1156	y=272	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_diamond	x=1156	y=306	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_diamond_darker	x=1156	y=340	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_emerald	x=1156	y=374	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_gold	x=1156	y=408	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_gold_darker	x=1156	y=442	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_iron	x=1156	y=476	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_iron_darker	x=1156	y=510	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_lapis	x=1156	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_netherite	x=1156	y=578	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_netherite_darker	x=1156	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_quartz	x=1156	y=646	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_redstone	x=1156	y=680	w=64	h=32
minecraft:trims/entity/humanoid_leggings/spire_resin	x=1156	y=714	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_amethyst	x=1156	y=748	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_copper	x=1156	y=782	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_copper_darker	x=1156	y=816	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_diamond	x=1156	y=850	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_diamond_darker	x=1156	y=884	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_emerald	x=1156	y=918	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_gold	x=1156	y=952	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_gold_darker	x=1156	y=986	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_iron	x=1222	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_iron_darker	x=1222	y=34	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_lapis	x=1222	y=68	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_netherite	x=1222	y=102	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_netherite_darker	x=1222	y=136	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_quartz	x=1222	y=170	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_redstone	x=1222	y=204	w=64	h=32
minecraft:trims/entity/humanoid_leggings/tide_resin	x=1222	y=238	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_amethyst	x=1222	y=272	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_copper	x=1222	y=306	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_copper_darker	x=1222	y=340	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_diamond	x=1222	y=374	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_diamond_darker	x=1222	y=408	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_emerald	x=1222	y=442	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_gold	x=1222	y=476	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_gold_darker	x=1222	y=510	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_iron	x=1222	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_iron_darker	x=1222	y=578	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_lapis	x=1222	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_netherite	x=1222	y=646	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_netherite_darker	x=1222	y=680	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_quartz	x=1222	y=714	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_redstone	x=1222	y=748	w=64	h=32
minecraft:trims/entity/humanoid_leggings/vex_resin	x=1222	y=782	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_amethyst	x=1222	y=816	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_copper	x=1222	y=850	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_copper_darker	x=1222	y=884	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_diamond	x=1222	y=918	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_diamond_darker	x=1222	y=952	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_emerald	x=1222	y=986	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_gold	x=1288	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_gold_darker	x=1288	y=34	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_iron	x=1288	y=68	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_iron_darker	x=1288	y=102	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_lapis	x=1288	y=136	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_netherite	x=1288	y=170	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_netherite_darker	x=1288	y=204	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_quartz	x=1288	y=238	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_redstone	x=1288	y=272	w=64	h=32
minecraft:trims/entity/humanoid_leggings/ward_resin	x=1288	y=306	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_amethyst	x=1288	y=340	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_copper	x=1288	y=374	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_copper_darker	x=1288	y=408	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_diamond	x=1288	y=442	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_diamond_darker	x=1288	y=476	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_emerald	x=1288	y=510	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_gold	x=1288	y=544	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_gold_darker	x=1288	y=578	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_iron	x=1288	y=612	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_iron_darker	x=1288	y=646	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_lapis	x=1288	y=680	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_netherite	x=1288	y=714	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_netherite_darker	x=1288	y=748	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_quartz	x=1288	y=782	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_redstone	x=1288	y=816	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wayfinder_resin	x=1288	y=850	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_amethyst	x=1288	y=884	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_copper	x=1288	y=918	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_copper_darker	x=1288	y=952	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_diamond	x=1288	y=986	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_diamond_darker	x=1354	y=0	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_emerald	x=1354	y=34	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_gold	x=1354	y=68	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_gold_darker	x=1354	y=102	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_iron	x=1354	y=136	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_iron_darker	x=1354	y=170	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_lapis	x=1354	y=204	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_netherite	x=1354	y=238	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_netherite_darker	x=1354	y=272	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_quartz	x=1354	y=306	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_redstone	x=1354	y=340	w=64	h=32
minecraft:trims/entity/humanoid_leggings/wild_resin	x=1354	y=374	w=64	h=32
